,train_mse,train_rmse,train_mae,train_r2,val_mse,val_rmse,val_mae,val_r2,test_mse,test_rmse,test_mae,test_r2
SGD_Linear_MixedEncoding,123.68294369593967,11.121283365508662,7.750467506574341,0.19075288370453347,123.37169515503558,11.107281177454524,7.709399242424051,0.1783644085559074,124.14400924879648,11.141993055499382,7.735587850982342,0.18838559486144824
Ridge_Linear_MixedEncoding,123.16178487342026,11.097827934934847,7.733432178034226,0.19416278212425897,123.06946110523275,11.093667612887668,7.699229752765751,0.18037723858107835,123.9701520099553,11.134188430683006,7.735836639701119,0.18952221869319774
Lasso_Linear_MixedEncoding,130.74878516029761,11.434543504674666,7.578734741380846,0.1445216762448398,129.6636527377757,11.386994894956953,7.532454130239656,0.13646098586775124,131.5592266173055,11.469927053704636,7.63832940850241,0.13990724081172312
DecisionTree_OrdinalEncoding,0.2860058589060174,0.5347951560233295,0.01944964702492436,0.9981286876779688,239.9339704187476,15.489802142659784,10.49414137533615,-0.5979215446849653,240.98540258143822,15.523704537945774,10.46942224953903,-0.5754866090334885
RandomForest_OrdinalEncoding,17.50967741863951,4.184456645568156,2.889532310883341,0.8854356507463766,121.49479411513153,11.022467696261646,7.680759366481898,0.1908642667613546,122.75493029012496,11.079482401724594,7.700515157169198,0.1974669552875744
SGD_OrdinalEncoding,132.74566188132206,11.521530361949408,7.8856849931255075,0.13145627951512384,131.47241383689797,11.466142064220989,7.808047482622773,0.12441492867780313,132.34110289289555,11.503960313426656,7.88147558011617,0.13479558015129456
Ridge_OrdinalEncoding,132.15940903814877,11.496060587790444,7.926491448698929,0.13529208264675296,130.99538871515375,11.44532169557299,7.847599025138905,0.1275918390505224,131.8423134411399,11.482260815760105,7.912594546153863,0.1380565083799351
Lasso_OrdinalEncoding,136.920209421776,11.70129092971267,7.687470727163154,0.10414256544913503,135.74005578700795,11.650753442889775,7.630797767087229,0.09599312160654694,137.32367393859317,11.718518419091774,7.722518673471212,0.10222110104606419
RF_TopFeatures,111.30874633990734,10.550296030913414,7.11733888267247,0.2717162180787369,129.62534561223464,11.385312714731846,7.7508678089062855,0.13671610514540145,133.12363590493118,11.537921645813476,7.828041824579664,0.12967962595497284
Ridge_Polynomial,132.1827137414396,11.497074138294474,7.821099061940554,0.1351396019297626,127.74634220939313,11.302492743169232,7.707603026668881,0.14922996474892758,131.61629322631953,11.472414446241014,7.753945890301348,0.13953415730806906
RF_200trees,33.04418799670172,5.74840743134146,4.084647432646292,0.7837946522974453,117.7973670564441,10.853449546408925,7.4827181338447755,0.2154885346241605,118.55015301133517,10.88807388895461,7.4728387967429875,0.22495646388742785
SGD_Tuned,123.16195414746251,11.09783556138144,7.732813882915255,0.1941616745784126,123.07033543568896,11.093707019553426,7.6987432040251305,0.18037141568125836,123.96620464069849,11.134011165824225,7.735073823991232,0.18954802534927895
Ridge_alpha_0.1,123.16178344737692,11.09782787068609,7.733498063546448,0.1941627914547408,123.06932887346271,11.093661653100058,7.6992915982359955,0.18037811922333957,123.9700254180389,11.134182745852472,7.735891861372116,0.18952304631124828
Ridge_alpha_1.0,123.16178487342026,11.097827934934847,7.733432178034226,0.19416278212425897,123.06946110523275,11.093667612887668,7.699229752765751,0.18037723858107835,123.9701520099553,11.134188430683006,7.735836639701119,0.18952221869319774
Ridge_alpha_10.0,123.16192422825115,11.097834213406287,7.732784730660094,0.19416187033730048,123.07089824287297,11.09373238558029,7.69862333273587,0.1803676674761865,123.97154126499468,11.134250817409974,7.735294108803602,0.18951313618161147
Ridge_alpha_100.0,123.17327314670248,11.098345513935962,7.727101302289051,0.19408761531671825,123.09397180051184,11.094772273485916,7.693599092063508,0.18021400130378362,123.99490711332956,11.135300045949798,7.730722710504537,0.1893603776295748
Lasso_alpha_0.01,123.17132656863845,11.098257816821452,7.726802619421506,0.19410035161355832,123.09560899638839,11.094846055551578,7.693343259448326,0.18020309784330468,123.98702184886814,11.134945974223141,7.730380842575465,0.1894119290033699
Lasso_alpha_0.1,124.02166242297251,11.136501354688217,7.698990546975196,0.18853667551207276,123.94743872332499,11.133168404516523,7.668276036693316,0.1745300492512295,124.91881631588006,11.17670865308209,7.713214543129068,0.18332015045818328
Lasso_alpha_1.0,130.74878516029761,11.434543504674666,7.578734741380846,0.1445216762448398,129.6636527377757,11.386994894956953,7.532454130239656,0.13646098586775124,131.5592266173055,11.469927053704636,7.63832940850241,0.13990724081172312
Lasso_alpha_10.0,152.83705212584465,12.362728344740276,7.56509643074854,0.0,150.1551101026407,12.253779421168014,7.495684433432113,-8.815170279508067e-06,153.01673610050346,12.369993375119627,7.606176156920238,-0.0003751932770517108
DT_depth_5,118.4492228106035,10.883438005088443,7.418296757427393,0.22499668003885942,118.69214864986215,10.894592633497691,7.452624461218474,0.20952943352890963,121.20654816118396,11.009384549609663,7.477217505230124,0.2075897896322353
DT_depth_10,98.71252046704352,9.935417478246373,6.766313618870435,0.35413226639725737,128.30356410082842,11.32711631885311,7.6684034482403804,0.14551895682478666,130.0228014858785,11.402754118452195,7.682823437257181,0.14995190407520753
DT_depth_15,65.09276718545566,8.068008873659947,5.139705440103532,0.5741034894348861,161.71950173610733,12.716898274976778,8.49216933263126,-0.07702579825958611,165.43220597584326,12.862045170805585,8.53829864059087,-0.08154362225210687
DT_depth_20,33.33205597700303,5.773392068533284,2.9974504639818607,0.7819111562714667,202.16073577870978,14.218323944076875,9.527678652793577,-0.3463578943255967,202.8256739192923,14.241687888705197,9.434385265965684,-0.32601033010723524
DT_depth_unlimited,0.2860058589060174,0.5347951560233295,0.01944964702492436,0.9981286876779688,239.9339704187476,15.489802142659784,10.49414137533615,-0.5979215446849653,240.98540258143822,15.523704537945774,10.46942224953903,-0.5754866090334885
Ridge_Polynomial_deg3,129.86643581066966,11.395895568610202,7.872374841535384,0.15029481395820954,126.2538442769351,11.23627359389825,7.764167995238285,0.15916976025812624,129.47281474430415,11.378612162487311,7.806593549400273,0.15354754404847726
RF_Demographics,128.7914736743505,11.348633119206493,7.782619600644502,0.1573282009633059,125.90840981191133,11.220891667417137,7.706960276039765,0.16147029808099,129.5842676146878,11.38350858104336,7.775316952441323,0.15281890030928458
RF_Education_Capital,138.756877318059,11.779510911666026,7.634537217127657,0.09212540160871574,145.12273055373788,12.04668960975329,7.875270400193424,0.03350602096646915,148.53752227693408,12.187597067385108,7.918160733512884,0.02890849495649772
RF_Work_Related,119.55461529777641,10.934103314756834,7.460218744295366,0.21776418980303136,127.63114424768109,11.297395463011865,7.702970896516536,0.14999716459396084,130.17856285540063,11.409582063134504,7.741108116358244,0.14893358533366496
RF_Numerical_Only,23.219044099702256,4.818614333986718,3.3235666991087323,0.8480797439053986,145.65486111936667,12.068755574597022,8.429027970626079,0.0299621172252873,150.49382167050427,12.267592333889494,8.561906287277907,0.016118826101810035
RF_With_Interactions,111.31928714656273,10.550795569366452,7.117335182788761,0.2716472504657873,129.07659403555536,11.361188055637287,7.741045522745404,0.1403707021394216,132.91628401923924,11.528932475265837,7.816481668459056,0.13103522723109184
LinearRegression_OLS,123.16178343293869,11.09782787003559,7.733505390522668,0.1941627915492089,123.06931431394393,11.093660996891149,7.69929847652523,0.18037821618738625,123.97001149482423,11.134182120606086,7.735898002093496,0.18952313733683757
RF_minSplit_2,17.50967741863951,4.184456645568156,2.889532310883341,0.8854356507463766,121.49479411513153,11.022467696261646,7.680759366481898,0.1908642667613546,122.75493029012496,11.079482401724594,7.700515157169198,0.1974669552875744
RF_minSplit_10,46.15257269847503,6.793568480443472,4.653787485177233,0.698027591761758,117.29010461341169,10.830055614511483,7.497275229800461,0.21886682067976315,117.8354538556443,10.855203998803722,7.489548458915467,0.2296289417106353
RF_minSplit_20,63.73985473832159,7.983724365126942,5.505041012754074,0.58295548198719,114.98281369345241,10.72300394914841,7.397245148846701,0.23423300606995345,115.88126985927751,10.764816294729673,7.399052936573925,0.2424047807651316
RF_minSplit_50,83.71300228672743,9.149480984554666,6.305538645120921,0.45227285450520927,112.9224965111221,10.626499729973276,7.28233294927607,0.24795438620126387,114.05209654688556,10.67951761770566,7.293599978208749,0.25436333936828615
SGD_loss_squared_error,123.16195414746251,11.09783556138144,7.732813882915255,0.1941616745784126,123.07033543568896,11.093707019553426,7.6987432040251305,0.18037141568125836,123.96620464069849,11.134011165824225,7.735073823991232,0.18954802534927895
SGD_loss_huber,140.19557394630903,11.840421189565388,7.373787508705695,0.08271213036173164,138.34041106572417,11.76182005753039,7.328441138283346,0.07867517485459663,140.12453578291758,11.837420993734977,7.410807309853293,0.08390994907496196
SGD_loss_epsilon_insensitive,139.57512190576801,11.814191546854486,7.373958105765137,0.08677169597040424,137.75424929681552,11.736875619039997,7.329593256532834,0.0825789176950752,139.49714584364497,11.810890984326498,7.409806552039692,0.08801162675907936
RF_InteractionTerms,58.39004678358429,7.641338023120316,5.3510888463363395,0.6179588262700431,115.9211084688901,10.766666543962904,7.370664133826239,0.22798411420057585,116.58986219399874,10.797678555782198,7.354465637261796,0.23777222741269433
Ridge_InteractionTerms,123.16178487857485,11.097827935167082,7.733432075615795,0.19416278209053295,123.06945949876432,11.093667540482919,7.699229601806281,0.18037724927989895,123.97015115826316,11.134188392436297,7.735836601940051,0.1895222242612925
SGD_StandardScaler,123.68294369593967,11.121283365508662,7.750467506574341,0.19075288370453347,123.37169515503558,11.107281177454524,7.709399242424051,0.1783644085559074,124.14400924879648,11.141993055499382,7.735587850982342,0.18838559486144824
Ridge_StandardScaler,123.16178487342026,11.097827934934847,7.733432178034226,0.19416278212425897,123.06946110523275,11.093667612887668,7.699229752765751,0.18037723858107835,123.9701520099553,11.134188430683006,7.735836639701119,0.18952221869319774
SGD_MinMaxScaler,123.60259256913888,11.117670285142426,7.746171064247746,0.19127861438098392,123.63713632602575,11.119223728571422,7.717170517674672,0.17659661316940445,124.41834464373581,11.154297138042173,7.749027258099566,0.18659207651352772
Ridge_MinMaxScaler,123.16257904830782,11.097863715522363,7.7321981765060706,0.19415758590464782,123.0758642965272,11.093956205814372,7.698053653887798,0.1803345943598108,123.97622767389173,11.134461265543642,7.734806753755743,0.18948249791729055
SGD_RobustScaler,123.35225053325847,11.106405833268406,7.708262843182555,0.1929165813032605,122.96198510605585,11.088822530190292,7.658856474370914,0.18109301140108214,124.19867513443499,11.144445932141938,7.7096291776460335,0.18802820653057062
Ridge_RobustScaler,123.16179261309632,11.097828283637133,7.7332382481443736,0.19416273148420826,123.0688572361116,11.09364039601571,7.699023784701449,0.18038126025202872,123.9694008549313,11.134154698715628,7.735646529654046,0.18952712950799788
RF_LogTransformed,58.372929731057724,7.640217911228562,5.345617270040888,0.6180708217075923,114.82438990638907,10.715614303734018,7.337295693336393,0.23528808294004944,115.51262683455565,10.747680067556702,7.317192180411997,0.2448148526729793
SGD_LogTransformed,123.12045556026592,11.095965733556765,7.732148489759702,0.19443319635025635,123.16200090407025,11.09783766794551,7.698602103982162,0.17976093844631558,123.99572497724593,11.135336769817334,7.73694007018224,0.18935503069306148
Ridge_LogTransformed,123.12039223864262,11.095962880193976,7.732010733803594,0.1944336106583212,123.15851595088317,11.09768065637515,7.698310300297216,0.17978414767246276,123.99690292697954,11.135389662107903,7.7369304211311825,0.18934732962896572
RF_GridSearch,97.10919773484927,9.854399917541873,6.720803255815871,0.36462267242049107,111.91778863232484,10.579120409198717,7.2143497811649935,0.25464557862742576,113.85937515902319,10.67049085839181,7.238087758803174,0.2556232910607914
