Model,Train_MSE,Train_RMSE,Train_MAE,Train_R2,Val_MSE,Val_RMSE,Val_MAE,Val_R2
Linear Regression,121.74242093086497,11.033694799606565,7.506763820599815,0.15035169585246366,123.05765005584097,11.093135267174965,7.568942337297439,0.1528497277390225
SGD Regressor (Huber),149.22084516477994,12.215598436621104,8.577830548204247,-0.04142202092166469,147.46809309475444,12.143644143944371,8.564572348144042,-0.01519600901153928
Decision Tree,66.88430185948033,8.178282329406361,4.919202876583017,0.5332100904969607,153.1787426014986,12.376540009287677,8.398919555512853,-0.054509113741152415
Random Forest,72.24107151915791,8.499474779017696,5.7063338037339975,0.4958248453026117,125.75456513433363,11.214034293434885,7.821670359597133,0.1342836951358236
