Model,MAE,MSE,RMSE,R²
SGDRegressor,0.6937433664013846,0.9077219615406336,0.9527444366358869,0.102575379967623
LinearRegression,0.6996197273481475,0.912561676204824,0.9552809409827163,0.09779056779209228
DecisionTree,0.8721968856364257,1.7996104948534524,1.3414956186486233,-0.7791954287511667
RandomForest,0.7288592681536973,0.9955669943679651,0.9977810352817722,0.015726875087342274
RidgeRegression,0.698951760726051,0.9109357692697408,0.9544295517584003,0.09939803018173032
LassoRegression,0.7602622330803208,1.0045406811615893,1.0022677691922401,0.006854987216094233
